LigandID,Score,SMILES,OnBits
2587,-0.7,O=C(Nc1c(C)cccc1C)[C@@H]1[N+@@H](CCCC)CCCC1,"91,140,147,457,807,844"
5557,2.0,P(=O)(OC[C@H]1[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](n2c3ncnc(N)c3nc2)O1)([O-])[O-],"9,71,75,80,112,147,152,163,189,192,194,209,219,229,233,303,356,378,428,433,435,463,486,489,519,548,563,577,610,620,643,650,656,672,675,692,695,700,715,786,807,849,863,897,926,932,935,962,1001,1019"
2221,-4.2,[S@@H0](=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,"1,34,64,80,101,140,147,175,241,309,341,356,389,427,500,557,582,585,650,685,696,726,807,849,874,893"
3908,26.8,[N+H2](C)[C@H]1CC=2[C@](C)([C@@H]3[C@@H]([C@H]4C5(C([C@@H](C)[N+@@H](C)C5)CC4)CC3)CC=2)CC1,"91,140,147,457,807,844"
674,-3.4,[N+H2]([C@@H](CCCC(C)C)C)C(C)C,"91,140,147,457,807,844"
3366,0.7,O=C(OCC)C1(c2ccccc2)CC[N+H](CCOCCO)CC1,"91,140,147,457,807,844"
6788,56.6,O=C(O[C@@H]1C(C)(C)[C@H]2[C@](C)([C@@H]3[C@](C)([C@@]4(C)C([C@@H]5[C@@](C(=O)[O-])(CC4)CCC(C)(C)C5)=CC3)CC2)CC1)C,"11,22,33,36,86,102,138,155,202,240,249,250,267,280,301,308,356,389,409,412,418,453,463,478,521,522,549,555,598,600,650,679,695,715,729,757,781,807,831,848,849,857,858,889,893,904,926,927,938,981,1010,1017,1019"
8314,32.4,O=C(N[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](C(=O)[O-])O2)[C@H](O)[C@H](CO)O[C@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]2[C@H](O)[C@H](CO)O[C@@H](O)[C@@H]2NC(=O)C)O[C@@H]1C(=O)[O-])C,"13,33,53,80,128,132,155,156,202,210,222,233,235,245,248,271,299,332,357,387,432,443,463,489,492,542,576,590,610,637,650,656,664,695,696,697,707,715,740,807,869,893,897,926,953,960,1017,1019"
7714,122.2,O(C)c1c2Oc3c4OCOc4cc4c3[C@H]([N+@H](C)CC4)Cc3ccc(Oc4c(OC)ccc(c4)C[C@H]4[N+@@H](C)CCc(c4c2)c1)cc3,"91,140,147,457,807,844"
7845,27.8,O=C([O-])[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](Oc2cc([O-])c3C(=O)C=C(c4ccc(O[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@@H](C(=O)[O-])O5)cc4)Oc3c2)O1,"13,79,121,136,155,156,202,233,271,299,314,322,332,356,378,389,463,489,501,524,542,580,581,630,637,650,656,666,695,696,715,718,726,779,784,807,819,849,865,875,893,896,897,920,942,960,964,992,1019"
7971,98.0,O(C)c1c(OC)cc2[C@@H]3[N+@@H](C)CCc2c1Oc1c2c(c(OC)c4OCOc14)ccnc2Cc1ccc(Oc2c(OC)ccc(c2)C3)cc1,"91,140,147,457,807,844"
1635,-3.6,O[C@@H]1[C@H](c2ccccc2)Oc2c([C@@H]1O)cccc2,"3,64,80,164,175,233,255,356,371,380,389,416,457,463,529,584,639,656,726,750,807,849,876,881,983,1019"
5437,58.7,O[C@H]1[C@@]2(C)[C@@H]3[C@@H]([C@@H]4[C@](C)([C@H]5[C@H](C)[C@]6(O[C@@H]5C4)OC[C@H](C)CC6)CC3)CC[C@H]2CCC1,"4,33,36,39,46,71,124,132,138,141,186,192,222,233,250,255,265,266,268,285,295,301,320,343,345,385,445,453,508,519,522,528,529,560,622,645,656,760,795,807,861,890,899,922,926,927,956,999,1009,1014,1017,1019"
520,-4.5,O=C(CC(=O)c1ccccc1)C,"27,33,64,80,128,175,190,356,361,389,526,594,610,650,669,726,807,849,893,961,1017"
4485,6.1,O=C(OC1CC[N+H](C)CC1)C(OCCC)(c1ccccc1)c1ccccc1,"91,140,147,457,807,844"
2216,-0.0,Clc1cc2c([nH]c3c2ccc([C@H](C(=O)[O-])C)c3)cc1,"1,33,90,119,164,165,202,216,230,275,283,310,324,333,341,356,457,561,591,602,625,650,659,709,715,720,721,726,807,816,829,849,875,893,900,915,997"
1509,-4.6,FC(F)(F)Oc1cc2sc(N)nc2cc1,"73,114,125,145,147,162,240,277,322,356,378,385,429,432,433,488,493,548,557,645,675,695,718,726,831,849,875,885,889,904,961"
